"","yearCE","month","lat","VSSI","HemiAssym","Duration"
"484",-2359,1,5,8.92,0.55,0
"485",-2365,1,-37,0.21,-1,0
"486",-2374,1,48,1.83,-1,0
"487",-2406,1,-37,2.24,-1,0
"488",-2408,1,-37,0.83,-1,0
"489",-2415,1,-37,0.23,-1,0
"490",-2424,1,-37,0.93,-1,0
"491",-2434,1,48,1.9,-1,0
"492",-2459,1,-37,3.93,-1,0
"493",-2462,1,48,8.52,-1,0
"494",-2474,1,5,6.92,2.16,0
"495",-2487,1,-37,0.17,-1,0
"496",-2490,1,-37,0.33,-1,0
"497",-2497,1,-37,1.95,-1,0
"498",-2500,1,5,2.66,3.78,0
"499",-2506,1,48,1.7,-1,0
"500",-2509,1,-37,0.18,-1,0
"501",-2512,1,-37,0.53,-1,0
"502",-2520,1,48,3.57,-1,0
"503",-2551,1,-37,0.42,-1,0
"504",-2557,1,5,4.4,12.26,0
"505",-2563,1,48,1.01,-1,0
"506",-2569,1,-37,0.21,-1,0
"507",-2576,1,-37,22.21,2.79,0
"508",-2591,1,48,1.2,-1,0
"509",-2609,1,48,3.08,-1,0
"510",-2613,1,48,2.78,-1,0
"511",-2636,1,48,4.35,-1,0
"512",-2645,1,48,1.12,-1,0
"513",-2650,1,48,2.25,-1,0
"514",-2666,1,48,1.3,-1,0
"515",-2681,1,-37,0.89,-1,0
"516",-2686,1,5,12.13,1.42,0
"517",-2695,1,-37,2.05,-1,0
"518",-2713,1,48,1.15,-1,0
"519",-2719,1,-37,2.22,-1,0
"520",-2723,1,5,8.68,22.63,0
"521",-2736,1,48,4.41,-1,0
"522",-2745,1,48,2.6,-1,0
"523",-2761,1,-37,0.41,-1,0
"524",-2767,1,48,7.05,-1,0
"525",-2798,1,-37,0.55,-1,0
"526",-2833,1,5,4.84,6.57,0
"527",-2844,1,-37,0.56,-1,0
"528",-2850,1,-37,0.4,-1,0
"529",-2854,1,-37,0.18,-1,0
"530",-2858,1,48,5.83,-1,0
"531",-2864,1,-37,0.22,-1,0
"532",-2874,1,48,5.18,-1,0
"533",-2887,1,48,1.17,-1,0
"534",-2891,1,48,1.4,-1,0
"535",-2898,1,48,0.74,-1,0
"536",-2904,1,-37,0.19,-1,0
"537",-2914,1,5,55.06,1.34,0
"538",-2919,1,5,5.72,1.54,0
"539",-2924,1,5,4.45,4.99,0
"540",-2930,1,-37,0.47,-1,0
"541",-2995,1,48,1.16,-1,0
"542",-3000,1,-37,0.19,-1,0
"543",-3003,1,-37,0.18,-1,0
"544",-3015,1,48,1.28,-1,0
"545",-3018,1,-37,1.26,-1,0
"546",-3057,1,-37,1.65,-1,0
"547",-3071,1,-37,0.34,-1,0
"548",-3075,1,48,2.57,-1,0
"549",-3095,1,64,0.28,-1,24
"550",-3098,1,64,0.35,-1,36
"551",-3098,1,64,0.36,-1,0
"552",-3102,1,64,0.59,-1,48
"553",-3104,1,5,10.25,3.38,0
"554",-3106,1,64,0.33,-1,24
"555",-3109,1,5,3.88,3.5,0
"556",-3110,1,64,0.54,-1,24
"557",-3112,1,64,0.36,-1,24
"558",-3115,1,64,0.43,-1,36
"559",-3116,1,64,0.77,-1,12
"560",-3119,1,64,1.1,-1,36
"561",-3121,1,5,20.28,4.84,0
"562",-3124,1,64,0.69,-1,24
"563",-3126,1,64,1.25,-1,24
"564",-3128,1,5,14.75,29.6,0
"565",-3130,1,64,1.45,-1,24
"566",-3134,1,64,1.45,-1,48
"567",-3136,1,64,0.77,-1,24
"568",-3138,1,64,1.27,-1,24
"569",-3141,1,64,1.19,-1,36
"570",-3142,1,64,0.97,-1,12
"571",-3145,1,64,0.43,-1,36
"572",-3147,1,64,0.35,-1,24
"573",-3149,1,64,0.41,-1,24
"574",-3153,1,5,39.6,4.67,0
"575",-3154,1,64,0.24,-1,24
"576",-3156,1,64,0.29,-1,24
"577",-3158,1,64,0.6,-1,24
"578",-3161,1,64,0.45,-1,36
"579",-3180,1,48,11.54,-1,0
"580",-3186,1,48,2.08,-1,0
"581",-3195,1,48,4.84,-1,0
"582",-3208,1,48,11.57,-1,0
"583",-3212,1,-37,0.23,-1,0
"584",-3237,1,-37,0.3,-1,0
"585",-3241,1,-37,0.38,-1,0
"586",-3274,1,-37,0.85,-1,0
"587",-3276,1,-37,0.21,-1,0
"588",-3285,1,5,8.58,25.91,0
"589",-3288,1,-37,0.61,-1,0
"590",-3293,1,5,11.28,2,0
"591",-3319,1,48,1.91,-1,0
"592",-3332,1,48,1.3,-1,0
"593",-3341,1,48,2.86,-1,0
"594",-3345,1,-37,0.49,-1,0
"595",-3354,1,48,3.83,-1,0
"596",-3358,1,48,1.69,-1,0
"597",-3368,1,-37,0.32,-1,0
"598",-3376,1,-37,0.46,-1,0
"599",-3391,1,48,1.57,-1,0
"600",-3399,1,48,2.6,-1,0
"601",-3413,1,-37,1.24,-1,0
"602",-3424,1,48,2.38,-1,0
"603",-3437,1,5,5.76,7.72,0
"604",-3446,1,-37,0.51,-1,0
"605",-3453,1,48,17.8,-1,0
"606",-3461,1,5,7.29,21.33,0
"607",-3472,1,48,8.49,-1,0
"608",-3483,1,-37,0.35,-1,0
"609",-3512,1,48,1.59,-1,0
"610",-3516,1,-37,0.27,-1,0
"611",-3520,1,5,17.19,3.81,0
"612",-3524,1,-37,0.27,-1,0
"613",-3529,1,-37,0.18,-1,0
"614",-3556,1,-37,0.19,-1,0
"615",-3560,1,-37,0.34,-1,0
"616",-3586,1,48,7.3,-1,0
"617",-3609,1,-37,1.31,-1,0
"618",-3623,1,5,2.57,3.42,0
"619",-3634,1,48,0.93,-1,0
"620",-3652,1,-37,1.42,-1,0
"621",-3657,1,48,4.59,-1,0
"622",-3663,1,5,4.68,2,0
"623",-3668,1,5,12.66,2.01,0
"624",-3673,1,48,1.11,-1,0
"625",-3693,1,5,7.28,3.36,0
"626",-3708,1,48,7.65,-1,0
"627",-3716,1,-37,1.63,-1,0
"628",-3729,1,5,7.31,8.73,0
"629",-3739,1,-37,0.71,-1,0
"630",-3742,1,-37,0.19,-1,0
"631",-3748,1,5,7.3,2,0
"632",-3752,1,-37,0.39,-1,0
"633",-3782,1,-37,0.2,-1,0
"634",-3784,1,-37,0.51,-1,0
"635",-3813,1,48,5.73,-1,0
"636",-3823,1,48,6.18,-1,0
"637",-3837,1,48,15.89,-1,0
"638",-3844,1,-37,0.16,-1,0
"639",-3855,1,5,15.86,44.98,0
"640",-3878,1,48,1.53,-1,0
"641",-3883,1,48,1.37,-1,0
"642",-3887,1,48,6.7,-1,0
"643",-3907,1,48,12.01,-1,0
"644",-3919,1,48,1.69,-1,0
"645",-3942,1,5,29.1,12.61,0
"646",-3946,1,-37,0.52,-1,0
"647",-3952,1,-37,2.22,-1,0
"648",-3967,1,48,26.91,-1,0
"649",-3972,1,5,24.22,12.61,0
"650",-3981,1,48,2.17,-1,0
"651",-3994,1,48,5.71,-1,0
"652",-3998,1,48,0.96,-1,0
"653",-4008,1,48,3.01,-1,0
"654",-4022,1,48,1.01,-1,0
"655",-4029,1,5,16.57,5.7,0
"656",-4054,1,48,1.86,-1,0
"657",-4107,1,48,1.24,-1,0
"658",-4113,1,-37,0.65,-1,0
"659",-4122,1,48,1.32,-1,0
"660",-4151,1,48,3.76,-1,0
"661",-4160,1,48,1.28,-1,0
"662",-4166,1,48,1.33,-1,0
"663",-4173,1,5,6.27,1.07,0
"664",-4178,1,-37,1.27,-1,0
"665",-4186,1,-37,0.37,-1,0
"666",-4191,1,48,2.55,-1,0
"667",-4195,1,48,6.5,-1,0
"668",-4203,1,5,3.42,10.09,0
"669",-4217,1,-37,0.76,-1,0
"670",-4241,1,48,1.5,-1,0
"671",-4248,1,-37,0.69,-1,0
"672",-4254,1,48,2.85,-1,0
"673",-4259,1,64,0.31,-1,24
"674",-4261,1,64,0.21,-1,24
"675",-4263,1,64,0.14,-1,24
"676",-4265,1,64,0.28,-1,24
"677",-4268,1,5,3.94,1.97,0
"678",-4272,1,5,6.72,2.61,0
"679",-4276,1,5,2.43,1.3,0
"680",-4278,1,-37,0.42,-1,0
"681",-4290,1,48,1.29,-1,0
"682",-4322,1,5,12.25,2.92,0
"683",-4332,1,-37,4.83,-1,0
"684",-4336,1,5,53.16,1.94,0
"685",-4349,1,48,2.45,-1,0
"686",-4360,1,-37,0.87,-1,0
"687",-4365,1,5,21.24,5.07,0
"688",-4379,1,5,83.71,3.17,0
"689",-4390,1,5,6.4,1.95,0
"690",-4395,1,-37,0.2,-1,0
"691",-4398,1,-37,1.07,-1,0
"692",-4410,1,-37,1.59,-1,0
"693",-4416,1,-37,0.18,-1,0
